filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	barcode_arrangement	barcode_score	barcode_full_arrangement	front_score	rear_score	front_begin_index	front_foundseq_length	rear_end_index	rear_foundseq_length	kit	variant
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_86_ch_682_strand.fast5	c00defcd-dbf7-4db4-a62f-221373dc4c9a	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	682	92.57425	1.85125	1057	True	0.0	1057	1.85125	1057	608	8.835	-0.0012	unclassified	32.599998474121094	BC31_var1	15.016948699951172	32.599998474121094	94	43	12	38	BC	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_82_ch_318_strand.fast5	bb2ee72a-e142-4706-8db0-606263fbc2c0	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	318	160.1365	28.77175	16441	True	0.0	16441	28.77175	16441	9896	8.467	-0.0003	unclassified	34.06666564941406	BC62_var1	13.762711524963379	34.06666564941406	98	51	44	43	BC	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_82_ch_343_strand.fast5	3efb92bd-0b22-4411-9cc8-91257bd51b85	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	343	110.8295	30.249	17178	True	0.18675	17178	30.06225	17178	12348	11.847	-0.0002	unclassified	34.52830123901367	LWB02_var2	20.188678741455078	34.52830123901367	4	40	18	33	LBW	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_84_ch_414_strand.fast5	1b600367-a446-4c88-9123-035aa25679b7	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	414	113.54675	27.538	15532	True	0.357	15532	27.181	15532	11191	11.537	-0.0002	unclassified	30.54901885986328	RAB12_var1	30.54901885986328	15.803921699523926	60	35	101	42	RAB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_86_ch_854_strand.fast5	9d3a6ed0-946d-4169-8649-c0cd02cba864	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	854	172.72975	16.1785	9207	True	0.066	9207	16.1125	9207	6842	9.014	-0.0002	unclassified	29.846153259277344	NB04_var2	12.04444408416748	29.846153259277344	36	45	103	26	NB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_92_ch_608_strand.fast5	132dc9df-e94b-4be8-ad28-47010b9525f9	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	608	158.0155	6.406	3548	True	0.19625	3548	6.20975	3548	2408	11.728	-0.0004	unclassified	34.156864166259766	RLB10	15.647058486938477	34.156864166259766	73	40	99	36	RLB	n/a
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_86_ch_1584_strand.fast5	29a384b7-6e7f-47d2-ad72-613cd956d0be	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	1584	155.029	33.879	19350	True	0.0165	19350	33.8625	19350	15057	10.275	-0.0001	unclassified	40.20512771606445	NB01_var2	7.288888931274414	40.20512771606445	39	52	62	29	NB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_86_ch_833_strand.fast5	16b9b906-2f97-4791-a13d-7f58bca4955b	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	833	109.787	31.29775	17777	True	0.18675	17777	31.111	17777	14153	9.696	-0.0002	unclassified	34.66666793823242	RAB06_var2	15.254901885986328	34.66666793823242	66	46	106	36	RAB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_93_ch_814_strand.fast5	530c5f25-674a-4060-9703-64aa309c1b40	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	814	131.75975	9.325	5285	True	0.0755	5285	9.2495	5285	3638	11.219	-0.0003	unclassified	34.512821197509766	NB05_var2	10.577777862548828	34.512821197509766	17	40	19	21	NB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_96_ch_608_strand.fast5	14ec797b-4ac2-419e-b79b-d6ab36a14bb4	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	608	168.29125	3.18875	1622	True	0.35	1622	2.83875	1622	902	12.581	-0.0008	unclassified	37.411766052246094	RAB06_var2	15.803921699523926	37.411766052246094	28	38	107	35	RAB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_90_ch_610_strand.fast5	12d54de3-2b15-41fc-b5d7-b0df40e21394	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	610	108.54325	32.54125	18375	True	0.384	18375	32.15725	18375	15113	10.721	-0.0001	unclassified	40.0	NB08_var1	33.17948532104492	40.0	15	23	100	26	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_97_ch_566_strand.fast5	d0f261bb-0747-4372-a621-75217797863e	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	566	124.15675	8.0825	4298	True	0.5605	4298	7.522	4298	2376	7.197	-0.0004	unclassified	34.039215087890625	RAB11_var2	19.764705657958984	34.039215087890625	24	33	33	38	RAB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_96_ch_343_strand.fast5	fca5b0cf-cf5e-4a23-8a9a-e7c4aef062e1	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	343	153.35225	17.23475	9760	True	0.15425	9760	17.0805	9760	5847	12.532	-0.0002	unclassified	34.88135528564453	BC54_var2	11.666666984558105	34.88135528564453	1	44	102	43	BC	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_95_ch_1347_strand.fast5	fe486642-d974-41d5-8e46-a36a5bf1ba47	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	1347	157.458	21.09125	11926	True	0.2205	11926	20.87075	11926	8733	10.613	-0.0003	unclassified	37.25490188598633	RAB03_var1	21.80392074584961	37.25490188598633	10	42	69	35	RAB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_1000_ch_1858_strand.fast5	4fb887f3-eb71-4654-b72a-5aeaf86b7dc5	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	1858	410.1175	1.47475	842	False	0.0	842	1.47475	842	314	6.62	-0.0022	unclassified	31.5	BC12_var1	16.983051300048828	31.5	1	35	50	44	BC	var1
