filename	read_id	run_id	channel	start_time	duration	num_events	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	complement_start	num_events_complement	complement_duration	num_called_complement	sequence_length_complement	mean_qscore_complement	strand_score_complement	sequence_length_2d	mean_qscore_2d
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch42_read15018_strand.fast5	4e682e36-4c83-4dbd-bc49-88f31bafcca5	ef76f479cb7e67828f17075c463bd69de4a0bbcb	42	122889.792	3.59375	661	2.0425	325	0.7835	316	240	9.82	-0.7398	2.92825	294	0.6655	274	217	8.447	-0.9702	201	12.09
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch99_read13652_strand.fast5	485c0ded-dc93-4a28-bb65-b71b5e2d40de	ef76f479cb7e67828f17075c463bd69de4a0bbcb	99	126485.77825	34.8035	15206	0.0	15206	34.8035	14602	9582	11.119	-0.7292	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch447_read6133_strand.fast5	31c81454-b5e8-4aac-a47d-b8e2d30a20c2	ef76f479cb7e67828f17075c463bd69de4a0bbcb	447	144179.5795	40.45675	18153	0.665	9496	20.8475	9170	6445	11.241	-0.656	21.59675	8619	18.86	8525	6518	11.689	-0.6416	6460	16.511
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch481_read16172_strand.fast5	e163dc1a-298a-4e40-a1db-d390e3e9b825	ef76f479cb7e67828f17075c463bd69de4a0bbcb	481	125926.71325	31.74525	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch62_read25196_strand.fast5	5e4ea43b-aed1-4f41-a7fd-6768bccd3448	ef76f479cb7e67828f17075c463bd69de4a0bbcb	62	127783.03075	70.5745	31032	0.0775	24613	55.98425	22935	15214	7.681	-1.3149	56.073	6415	14.5015	6065	4345	7.315	-1.4506	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch311_read14444_strand.fast5	c686c087-a0cb-4dc3-aad1-5a9ff7058591	ef76f479cb7e67828f17075c463bd69de4a0bbcb	311	144818.567	34.93075	14794	0.09425	14794	34.8365	13237	7086	7.343	-1.3867	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch117_read11256_strand.fast5	50c83418-6b5a-4a67-abe0-f8e90e9b0470	ef76f479cb7e67828f17075c463bd69de4a0bbcb	117	144091.667	5.7665	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch124_read22845_strand.fast5	4dd23bd8-de87-4746-abbd-b33f155bfbf5	ef76f479cb7e67828f17075c463bd69de4a0bbcb	124	144404.50525	82.31625	36827	0.64775	19393	43.169	18778	13158	9.254	-1.0073	43.89025	17402	38.426	16928	13038	9.417	-1.0072	12789	12.994
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch336_read21174_strand.fast5	8dbcc436-c545-4e64-ae46-3bc4d94e46f7	ef76f479cb7e67828f17075c463bd69de4a0bbcb	336	128048.8495	2.49375	1015	0.27625	1015	2.2175	989	752	9.926	-0.8397	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch62_read24165_strand.fast5	cc8449b4-e48d-4957-8652-01d32ef1fbf3	ef76f479cb7e67828f17075c463bd69de4a0bbcb	62	124601.9495	1.509	627	0.0675	627	1.4415	597	401	7.359	-1.2694	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch64_read15828_strand.fast5	034be551-ef15-4bc2-972c-7ee945040d7b	ef76f479cb7e67828f17075c463bd69de4a0bbcb	64	128184.67125	5.715	2333	0.22025	2333	5.49475	2251	1398	10.239	-0.8207	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch229_read24926_strand.fast5	850cf48b-3048-4b10-a6da-608d3a1586d7	ef76f479cb7e67828f17075c463bd69de4a0bbcb	229	127213.73225	160.095	70995	0.26675	35927	80.56675	33127	16234	6.301	-1.6799	80.9795	34995	79.1155	31686	16774	5.812	-1.9409	16616	5.756
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch284_read19849_strand.fast5	daa70f47-ff72-4ff7-96ae-c41e15258c97	ef76f479cb7e67828f17075c463bd69de4a0bbcb	284	126266.50125	63.58925	28068	0.0	14705	33.4765	14196	9462	10.547	-0.7828	33.57075	13330	30.0185	13112	9492	11.08	-0.7299	9349	15.269
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch64_read17456_strand.fast5	beb2f10d-3188-40b9-a636-35f1d0df8267	ef76f479cb7e67828f17075c463bd69de4a0bbcb	64	144127.30525	58.24575	10926	32.40875	5747	13.65975	5470	3551	8.897	-1.0774	46.252	5102	11.99375	4925	3220	9.525	-1.0563	3385	11.019
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch123_read21104_strand.fast5	32f93e41-c8df-4242-a7f6-5f25fd978afd	ef76f479cb7e67828f17075c463bd69de4a0bbcb	123	129017.36975	69.15925	31064	0.0	15471	34.143	15033	10277	10.047	-0.8764	34.211	15557	34.94825	14200	9274	9.598	-1.0529	9890	12.574
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch481_read16158_strand.fast5	f619f71f-2452-45c7-99f8-3950a4ac1fb8	ef76f479cb7e67828f17075c463bd69de4a0bbcb	481	125847.96375	5.24525	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch163_read18114_strand.fast5	38607f2f-425a-4bee-8b4e-33d79df50636	ef76f479cb7e67828f17075c463bd69de4a0bbcb	163	125027.38575	16.5785	6886	0.0	4019	9.6955	3732	1752	11.425	-0.663	9.8105	2815	6.768	2749	1369	9.723	-0.8944	1358	13.708
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch119_read17724_strand.fast5	ffb51979-d160-479e-ab2c-030a292365a3	ef76f479cb7e67828f17075c463bd69de4a0bbcb	119	126023.6395	18.0425	8143	0.0	4541	10.154	4378	2929	12.138	-0.5625	10.2145	3574	7.828	3543	2619	9.969	-0.8439	2827	16.151
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch300_read16683_strand.fast5	c890f8d5-914b-4fed-8e3e-a50345f8e0cf	ef76f479cb7e67828f17075c463bd69de4a0bbcb	300	132495.60175	10.497	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch405_read24789_strand.fast5	029fc9ee-35c8-487d-8968-cb5329d68792	ef76f479cb7e67828f17075c463bd69de4a0bbcb	405	129993.15425	79.258	32816	1.52825	17413	41.9845	17052	10639	11.517	-0.6632	43.6255	15354	35.6325	15071	10552	10.992	-0.732	10551	15.744
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch336_read22409_strand.fast5	ee6d39a0-7d07-40f0-9568-e531da8b43a5	ef76f479cb7e67828f17075c463bd69de4a0bbcb	336	131324.68275	44.992	19768	0.0	10886	25.18275	10456	7019	8.433	-1.1778	25.24075	8858	19.75125	8641	6592	8.253	-1.2597	6941	9.942
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch43_read22896_strand.fast5	ef3a0f50-4300-465c-a206-265eb57ce6e2	ef76f479cb7e67828f17075c463bd69de4a0bbcb	43	123573.53375	46.7005	20709	0.19925	10922	24.79675	10223	7304	10.051	-0.8781	25.0865	9751	21.614	9655	7579	10.34	-0.8263	7494	14.875
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch427_read18012_strand.fast5	830be9d5-9a3f-45e3-b1b2-c5212dbe6790	ef76f479cb7e67828f17075c463bd69de4a0bbcb	427	129438.8645	29.49625	12458	0.0	2086	4.982	1715	170	4.485	-1.5102	5.195	10279	24.30125	9296	1637	4.872	-1.2796	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch62_read26527_strand.fast5	c99dc35e-7b51-416e-9e02-e817b784b6b7	ef76f479cb7e67828f17075c463bd69de4a0bbcb	62	132444.17025	15.9215	6987	0.27025	6987	15.65125	6510	4515	7.584	-1.3531	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch49_read18741_strand.fast5	f7906b7e-183a-4051-bf02-83959948b53c	ef76f479cb7e67828f17075c463bd69de4a0bbcb	49	123273.10725	13.688	5636	0.48925	5636	13.19875	5553	3501	13.584	-0.4255	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch403_read18154_strand.fast5	e213991f-73a6-48cd-86f4-ab5c108ddb0c	ef76f479cb7e67828f17075c463bd69de4a0bbcb	403	129542.3525	24.57	10630	0.16975	10630	24.40025	10324	6621	9.785	-0.9097	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch163_read18430_strand.fast5	ef547cc9-043a-4a80-8554-30646818b448	ef76f479cb7e67828f17075c463bd69de4a0bbcb	163	126211.69225	3.63225	1540	0.0	977	2.3445	842	350	9.072	-0.9634	2.4425	527	1.18975	516	321	9.023	-0.9583	317	10.593
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch62_read25163_strand.fast5	dfcda670-7ce5-492b-b5f1-e093eed7e88d	ef76f479cb7e67828f17075c463bd69de4a0bbcb	62	127608.37525	15.922	6696	0.32275	3726	8.79025	3459	1909	7.633	-1.3046	9.15225	2951	6.76975	2768	1705	6.959	-1.5124	1786	7.318
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch223_read21596_strand.fast5	fb61ef2f-8772-47d6-8212-66b9b6abfeb4	ef76f479cb7e67828f17075c463bd69de4a0bbcb	223	141684.3145	29.49675	11829	0.0055	11829	29.49125	10116	989	4.78	-1.4748	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch330_read19917_strand.fast5	4438a614-422b-49d5-9c96-caeca3765bb4	ef76f479cb7e67828f17075c463bd69de4a0bbcb	330	125837.45875	8.49975	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch336_read22530_strand.fast5	078f7887-649d-41f0-b82a-c18e914e216f	ef76f479cb7e67828f17075c463bd69de4a0bbcb	336	133221.39675	7.397	2908	0.0	844	2.4335	834	18	9.448	-0.4429	2.4755	2050	4.9215	1914	1223	8.22	-1.2472	5	1.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch339_read9988_strand.fast5	75a9bdf9-0e05-47c4-b205-cf2257dfe7aa	ef76f479cb7e67828f17075c463bd69de4a0bbcb	339	145475.91425	8.72175	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch489_read21584_strand.fast5	d17f4ec9-be8e-495e-a9c0-5412178f2019	ef76f479cb7e67828f17075c463bd69de4a0bbcb	489	144122.302	61.31275	23295	4.56225	23295	56.7505	22391	12708	9.049	-1.0697	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch393_read14089_strand.fast5	b3e6e3c2-c93f-4841-8f25-f485f5f155a0	ef76f479cb7e67828f17075c463bd69de4a0bbcb	393	127293.37025	1.24825	524	0.019	524	1.22925	511	294	13.745	-0.376	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch393_read15955_strand.fast5	10610255-4d32-483c-b5b4-1bb347e71ccb	ef76f479cb7e67828f17075c463bd69de4a0bbcb	393	135580.8645	88.3335	40043	0.25275	21939	48.84575	21167	15406	8.714	-1.1352	49.20625	18061	39.12725	17798	14494	9.66	-0.9522	14525	12.075
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch41_read19748_strand.fast5	55ff3dfc-d777-406b-bacc-f68999ae110b	ef76f479cb7e67828f17075c463bd69de4a0bbcb	41	136813.58875	13.818	5760	0.014	4206	10.2405	3408	598	4.513	-1.5813	10.35025	1517	3.46775	1030	321	5.564	-1.6509	11	3.946
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch131_read19829_strand.fast5	a609f241-da34-4b6a-b724-a1453f3567ff	ef76f479cb7e67828f17075c463bd69de4a0bbcb	131	128871.5355	1.4475	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch427_read17370_strand.fast5	41d717d0-c770-43c4-90ad-b9ed065f96d2	ef76f479cb7e67828f17075c463bd69de4a0bbcb	427	124894.96875	29.744	12365	0.32325	10652	25.42375	9407	998	4.812	-1.3867	25.78075	1696	3.96325	1388	612	4.231	-2.2604	47	2.114
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch364_read16967_strand.fast5	a3cbb687-7d3e-4d15-826b-bfc2c957414b	ef76f479cb7e67828f17075c463bd69de4a0bbcb	364	145708.10925	48.4535	21629	0.027	11687	26.65725	11428	7863	12.9	-0.4985	26.74425	9915	21.70925	9818	7194	10.333	-0.81	7669	17.276
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch386_read17841_strand.fast5	5a3c0d7d-a08c-43cc-8ee0-34a56d198647	ef76f479cb7e67828f17075c463bd69de4a0bbcb	386	124315.97075	29.74425	12635	0.006	2433	5.71625	1983	202	4.443	-0.9895	5.947	10104	23.79725	9644	2602	5.313	-1.3276	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch223_read21219_strand.fast5	26374f34-c27e-4cb4-8c02-cae516d92e8e	ef76f479cb7e67828f17075c463bd69de4a0bbcb	223	138174.58	56.752	23400	0.0	23400	56.752	20321	1775	4.669	-1.3375	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch62_read27348_strand.fast5	0b729245-6469-4936-8b01-986040358fe8	ef76f479cb7e67828f17075c463bd69de4a0bbcb	62	135744.91	31.43225	13976	0.08125	7890	17.97175	7299	4860	7.661	-1.316	18.09075	6069	13.3415	5755	4170	7.249	-1.4851	3943	7.884
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch123_read21323_strand.fast5	a0a1a6d6-46a9-41c3-bb0f-116f77d4e413	ef76f479cb7e67828f17075c463bd69de4a0bbcb	123	129757.2825	45.762	20361	0.0	10774	24.718	10428	6649	10.889	-0.7518	24.82075	9542	20.94125	9375	6684	9.253	-1.0107	6547	14.224
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch121_read18860_strand.fast5	aa6b72a0-1f22-4b39-a076-c3c38532dc0b	ef76f479cb7e67828f17075c463bd69de4a0bbcb	121	123946.52075	9.696	3756	0.4465	1815	4.87725	1685	38	4.68	-1.1553	5.3715	1921	4.3245	1682	899	5.068	-2.1348	5	1.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch32_read131121_strand.fast5	e976850e-8a55-49de-8a5b-5dad32ff4f27	ef76f479cb7e67828f17075c463bd69de4a0bbcb	32	134085.84925	29.74275	11147	0.011	2369	6.61025	2210	76	7.605	-0.7371	6.917	8670	22.82575	7632	3528	4.75	-1.9229	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch43_read23020_strand.fast5	86fc888a-7ee9-441f-8ed4-4464b1516609	ef76f479cb7e67828f17075c463bd69de4a0bbcb	43	124715.6195	5.0375	1598	1.3635	834	1.85225	807	567	10.446	-0.7586	3.4255	677	1.612	656	515	9.104	-0.9574	531	13.18
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch42_read15061_strand.fast5	03471cfe-ceab-4188-94ae-9582fb030fd6	ef76f479cb7e67828f17075c463bd69de4a0bbcb	42	123243.91875	2.76325	1205	0.03825	724	1.673	662	375	7.339	-1.2966	1.78775	446	0.9755	416	327	7.957	-1.1287	327	11.409
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch437_read17206_strand.fast5	93293f34-3580-4a3c-b857-ce351cf9567d	ef76f479cb7e67828f17075c463bd69de4a0bbcb	437	139230.323	2.18125	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch437_read16339_strand.fast5	2bcf6da1-2f46-42af-ba25-7796d109e4b9	ef76f479cb7e67828f17075c463bd69de4a0bbcb	437	136311.1355	7.165	3193	0.071	3193	7.094	2994	1910	10.699	-0.7384	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch364_read16934_strand.fast5	35d6ba55-d562-483e-b875-6dca7336fc74	ef76f479cb7e67828f17075c463bd69de4a0bbcb	364	145612.409	2.886	1173	0.20925	1173	2.67675	1134	789	10.491	-0.7755	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch48_read17738_strand.fast5	dc230f3d-4106-4e7c-a28b-e0b6c891a55a	ef76f479cb7e67828f17075c463bd69de4a0bbcb	48	143807.985	3.13475	1410	0.0	1410	3.13475	1224	734	7.989	-1.2558	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch386_read19951_strand.fast5	d13891f6-65c7-4214-99d1-c22f34cc0666	ef76f479cb7e67828f17075c463bd69de4a0bbcb	386	140408.8195	29.4965	12703	0.0	12703	29.4965	11383	1786	5.607	-1.172	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch123_read21654_strand.fast5	090dd8a3-93bb-49da-8552-8c61593740c3	ef76f479cb7e67828f17075c463bd69de4a0bbcb	123	130677.3345	44.9905	18534	0.0	18534	44.9905	17870	9177	10.319	-0.8236	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch211_read24579_strand.fast5	385c8a57-3e9c-4056-9f44-f11db580b023	ef76f479cb7e67828f17075c463bd69de4a0bbcb	211	144517.8045	4.99575	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
