filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_36_ch_160_strand.fast5	f3e73c7e-64d1-4bc9-85f0-d04922dd9d07	52b163295bcfff805ebbe566ee02dffe2c40c323	160	341.81524	15.35126	13210	True	0.0	13210	15.35126	13210	8806	12.03	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_62_ch_24_strand.fast5	c10b2392-9561-431d-a425-ce40f6de93d0	52b163295bcfff805ebbe566ee02dffe2c40c323	24	368.20468	25.48622	21932	True	0.0	21932	25.48622	21932	11872	9.306	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_50_ch_136_strand.fast5	ce67c2f4-c259-44e2-a461-8adc9e618f01	52b163295bcfff805ebbe566ee02dffe2c40c323	136	348.20535	20.10392	17284	True	0.01926	17284	20.08466	17284	10470	11.863	-0.0001
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_30_ch_250_strand.fast5	de5b14df-9d64-4e58-afb1-40baf0c1a352	52b163295bcfff805ebbe566ee02dffe2c40c323	250	261.81541	33.98191	29100	True	0.1665	29100	33.81541	29100	17158	11.587	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_29_ch_101_strand.fast5	d484bbea-7e6b-4495-a805-80fc71cd1594	52b163295bcfff805ebbe566ee02dffe2c40c323	101	275.98224	19.81507	16994	True	0.06773	16994	19.74734	16994	10396	12.409	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_14_ch_285_strand.fast5	cf20f789-0420-4dc2-a45a-f61df1cbb6bb	52b163295bcfff805ebbe566ee02dffe2c40c323	285	69.36404	18.75382	16139	True	0.0	16139	18.75382	16139	9645	12.72	-0.0001
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_17_ch_489_strand.fast5	7582267b-db25-41de-8034-f3862106b471	52b163295bcfff805ebbe566ee02dffe2c40c323	489	123.99419	31.82055	27289	True	0.11023	27289	31.71033	27289	16220	12.516	-0.0001
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_20_ch_95_strand.fast5	beaa6d4b-d19a-43af-b9a1-6ad6e99b0dc5	52b163295bcfff805ebbe566ee02dffe2c40c323	95	210.84412	5.708	4889	True	0.0259	4889	5.6821	4889	2604	7.731	-0.0005
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_41_ch_63_strand.fast5	1dfa2ae1-748c-40bd-8c80-b87a549ea636	52b163295bcfff805ebbe566ee02dffe2c40c323	63	271.41965	24.37782	20966	True	0.01461	20966	24.36321	20966	13003	11.12	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_53_ch_195_strand.fast5	87643f3c-3acb-471f-a7a5-8f13a5e12a27	52b163295bcfff805ebbe566ee02dffe2c40c323	195	331.29748	62.39359	53563	True	0.15173	53563	62.24187	53563	34310	12.359	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_54_ch_43_strand.fast5	29c49686-6d76-462c-84f2-4c1fbeeefb11	52b163295bcfff805ebbe566ee02dffe2c40c323	43	292.7012	1.63247	0	False	0.0	0	0.0	0	0	0.0	0.0
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_49_ch_111_strand.fast5	64635398-7fff-4402-8131-0cb154e89136	52b163295bcfff805ebbe566ee02dffe2c40c323	111	308.26411	7.03303	6037	True	0.01776	6037	7.01527	6037	3435	9.582	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_44_ch_277_strand.fast5	a1123b44-f407-4566-9076-75c09a609758	52b163295bcfff805ebbe566ee02dffe2c40c323	277	368.20684	3.01677	2596	True	0.0	2596	3.01677	2596	1137	9.66	-0.0007
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_35_ch_60_strand.fast5	df4e7d82-638f-4aeb-985e-a1be42abc66c	52b163295bcfff805ebbe566ee02dffe2c40c323	60	267.70435	28.0928	24138	True	0.04299	24138	28.0498	24138	14638	11.187	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_4_ch_494_strand.fast5	24516990-cbbe-4758-835b-53fdc843fcee	52b163295bcfff805ebbe566ee02dffe2c40c323	494	86.54117	11.98705	10245	True	0.08118	10245	11.90588	10245	6371	12.467	-0.0003
