filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	calibration_strand_genome_template	calibration_strand_identity_template	calibration_strand_accuracy_template	aligned_speed_bps_template
195	195	A	351	15.26428	17.59462	3533	TRUE	0	3533	17.59462	3533	1077	9.034	-0.001	filtered_out	-1	-1	0
196	196	A	420	8.58831	10.05976	2020	FALSE	0	2020	10.05976	2020	378	6.23	-0.0018	filtered_out	-1	-1	0
197	197	A	470	9.18792	23.1836	4655	TRUE	0	4655	23.1836	4655	1386	9.172	-9.00E-04	YHR174W	0.969404161	0.891191721	61.42359543
198	198	A	229	17.14907	16.66003	3345	FALSE	0	3345	16.66003	3345	243	6.15	-0.0017	filtered_out	-1	-1	0
199	199	A	355	5.30611	8.13247	1633	FALSE	0	1633	8.13247	1633	201	6.467	-0.0021	filtered_out	-1	-1	0
200	200	A	341	23.37483	4.58865	921	FALSE	0	921	4.58865	921	180	6.673	-0.002	filtered_out	-1	-1	0
201	201	A	509	10.82005	5.8247	1169	TRUE	0	1169	5.8247	1169	274	7.129	-0.0014	filtered_out	-1	-1	0
202	202	A	367	12.10193	4.15803	834	FALSE	0	834	4.15803	834	140	6.666	-0.0011	filtered_out	-1	-1	0
203	203	A	280	20.70485	5.51361	1107	FALSE	0	1107	5.51361	1107	296	6.957	-0.0021	filtered_out	-1	-1	0
204	204	A	491	17.48738	14.57636	2926	TRUE	0	2926	14.57636	2926	1131	9.12	-0.0016	filtered_out	-1	-1	0
205	205	A	343	16.66866	3.16899	502	FALSE	0.66501	502	2.50398	502	77	4.959	-0.0036	filtered_out	-1	-1	0
206	206	A	235	21.47676	9.77689	1963	TRUE	0	1963	9.77689	1963	575	8.875	-0.0015	filtered_out	-1	-1	0
207	207	A	237	24.34562	3.16202	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
208	208	A	402	5.78054	16.06341	3225	TRUE	0	3225	16.06341	3225	1063	9.587	-0.0014	filtered_out	-1	-1	0
209	209	A	317	12.75697	22.6992	4558	TRUE	0	4558	22.6992	4558	1390	9.134	-0.0014	YHR174W	0.969047606	0.911194026	62.56945038
210	210	A	400	15.03054	11.68659	2346	FALSE	0	2346	11.68659	2346	167	5.948	-0.0019	filtered_out	-1	-1	0
